name_raw,name_eng,name_hun,info_eng,info_hun,symbol,sys_raw,sys_dat,category,source,inter_val
square_millimetre,square millimetre,négyzetmilliméter,SI unit: 10-⁶m²,SI mértékegység: 10⁻⁶m²,mm²,metric_area,SI,area,SI 2009.,1.0e-06
square_centimetre,square centimetre,négyzetcentiméter,SI unit: 10-⁴m²,SI mértékegység: 10⁻⁴m²,cm²,metric_area,SI,area,SI 2009.,0.0001
square_decimetre,square decimetre,négyzetdeciméter,SI unit of measurement: 10-²m²,SI mértékegység: 10⁻²m²,dm²,metric_area,SI,area,SI 2009.,0.01
square_metre,square metre,négyzetméter,The SI base unit of area.,A terület SI-alapegysége.,m²,metric_area,SI,area,SI 2009.,1.0
are,are,ár,Historical metric unit: 10²m²,Történelmi metrikus mértékegység: 10²m²,ar,metric_area,historical metric,area,SI 2009.,100.0
hectare,hectare,hektár,Accepted non-SI unit: 10⁴m²,"Engedélyezett, nem SI-mértékegység: 10⁴m²",ha,metric_area,accepted non-SI,area,SI 2009.,10000.0
square_kilometre,square kilometre,négyzetkilométer,SI unit: 10⁶m²,SI mértékegység: 10⁶m²,km²,metric_area,SI,area,SI 2009.,1000000.0
square_inch,square inch,square inch,1/1296 sq yd,ang. négyzethüvelyk: 1/1296 sq yd,sq in,imperial_us_customary_area,Imperial,area,1995 No. 1804.,0.00064516
square_foot,square foot,square foot,144 sq in,ang. négyzetláb: 144 sq in,sq ft,imperial_us_customary_area,Imperial,area,1995 No. 1804.,0.09290304
square_yard,square yard,square yard,"1296 sq in, 9 sq ft","ang. négyzetyard: 1296 sq in, 9 sq ft",sq yd,imperial_us_customary_area,Imperial,area,1995 No. 1804.,0.83612736
square_rod,square rod,square rod,"aka. sq perch or pole: 121,25 sq yd","ang. négyzetrúd, aka. sq perch v. pole: 121,25 sq yd",sq rd,imperial_us_customary_area,Imperial,area,"Cardarelli 2003, 602.",25.29285264
